Perio_prev,iso3c,Perio_prev_sd,Edent_prev,Edent_prev_sd,Pop,Pop_sd,Country,Prophy_shape,Prophy_rate,Consult_simple_shape,Consult_simple_rate,Consult_perio_shape,Consult_perio_rate,OPG_shape,OPG_rate,PA_shape,PA_rate,RootDeb_shape,RootDeb_rate,OHI_shape,OHI_rate,Extraction_shape,Extraction_rate,OFD_shape,OFD_rate,GTR_shape,GTR_rate,Single_implant_shape,Single_implant_rate,Implant_surgery_shape,Implant_surgery_rate,Full_fixed_shape,Full_fixed_rate,Denture_shape,Denture_rate,Denture_repair_shape,Denture_repair_rate,Maintenance_simp_shape,Maintenance_simp_rate,Maintenance_perio_shape,Maintenance_perio_rate
0.17173282645760207,CHN,0.013573783018923868,0.06411526861437163,0.007197336386095751,1421383651,23140091.5,China,14.835496587341137,1.069336748579801,28.80903048219562,11.381150496708752,6.810537781183872,1.3707254207739954,70.76001761113851,8.173827314925884,60.02257480973801,37.64079680590921,336.9524652103923,11.12085350097005,14.841311935143567,43199.95440287985,2037.996834499284,243.32770695623103,41.60061403104582,0.6899770550860248,14108.999890791069,333.18771875654613,54.51537682685459,0.11627221830687812,23155810923266.88,72045282613.25232,6.3598463695505405,0.00276443065988818,12.84988194626079,0.15033834015376552,70.76001761113851,16.347654629851768,14.835496587341137,1.069336748579801,14.835496587341137,1.069336748579801
0.09621496945036428,PRK,0.01727603582402952,0.05047373041807494,0.006603906885352961,26059557.84,192910.7100000009,Democratic People's Republic of Korea,3.8650724889910184,0.7101115050548222,9.211200333587524e-4,8.994732980181761e-4,0.07057203331672672,0.00368917471831982,0.03985977828611371,0.00376991038801025,0.05473520844859386,0.02234793068771576,0.00303003361132967,7.957449310401789e-4,0.02052359121315371,0.00706885467022041,0.00574444974157463,0.00146538013758615,5.8709884741403786e-5,2.91760468699289e-5,0.4811736136026652,0.00210792923812843,0.4011918069955064,6.752960683119839e-4,0.4991920642511308,3.930586866596326e-4,0.05391613371087124,2.885840159190172e-5,1.2948945979190325e-4,2.2816531876985403e-5,0.0013993756735555,7.041987509924694e-4,0.01938724733315365,0.00551874957423269,0.34915139038851173,0.01063867920063521
0.17333142301847276,TWN,0.021307286183136945,0.06185160296631425,0.008836475842627447,23815642.66,181820.10500000045,Taiwan (Province of China),2892318209621.4585,111549369649.91078,425011231774.64954,42760649012.28322,9.112371817017491,0.1201912466918882,2892318209621.4585,111549369649.91078,51419547402.52576,14873329845.559282,39.50617283150124,0.9141924292684096,18.51334118004628,0.4159770160007265,24.142011837131587,0.8245932525116596,30.160200011834785,0.17972345860093863,24.00000000932562,0.02618048248765166,15.750000006044235,0.00795323054689885,2.6692446272454093,3.4283267344840555e-4,14.892168699997937,0.01259747779652706,11.593101393513836,0.09966265887068926,2070650148716.7473,57729895753.56648,1372777417409.175,38273146841.82454,15.406695675129544,0.06770038845121458
0.10022093016546868,KHM,0.01531471254006414,0.03334349261641789,0.0038142092794868597,18671295.44,235073.57499999925,Cambodia,8.8467183891497,0.8005204511949117,0.03003779463111061,0.00512619704284702,0.13329595720094278,0.00506523512790967,0.09199907550710132,0.00572133584049302,0.1242792140612525,0.03362815646211466,0.05818339408851396,0.00347514186091602,0.0721045849846621,0.01322925248546043,0.04293478125450521,0.00399941025702539,0.01454114685338865,4.584288506181348e-4,0.553533808681692,0.00226031542412658,0.5813160784401112,8.115322159143236e-4,0.5016574098463243,3.940279682962761e-4,0.12985348925036538,4.4713463112826825e-5,0.01518566007430946,2.467846506900372e-4,0.02127396994977531,0.00273669162016684,0.21234486791458637,0.01807737458203749,0.5448087337491068,0.01326068916975347
0.16384069523159442,IDN,0.01877228043121129,0.04420130778492177,0.0040596733147150454,285740047.2,4378619.050000012,Indonesia,27.10033570911102,1.1373153713615594,0.24800910022543163,0.01469562860432661,0.34995973000636216,0.0081980446801072,0.2908508102409613,0.01016036128345011,0.3874045263136126,0.05927748624805264,0.4397835845140304,0.00951668884477899,0.30626869635152004,0.0272163381259485,0.2559369523611486,0.00974553722691378,0.16972201653671565,0.00156326238643821,0.7375575358536235,0.00260836951841385,1.1168080298862797,0.00112267872168011,0.5072971008567728,3.96236495566678e-4,0.4250378413257232,8.074428456275538e-5,0.1425439319953158,7.550212167503207e-4,0.314682328722805,0.010485501898825361,1.3988745824242228,0.04585816966263897,1.1529030673700271,0.01924222363322319
0.05322095905096528,LAO,0.010163254501955394,0.01878018485519419,0.002243959202581884,8200184.634,79208.41950000031,Lao People's Democratic Republic,14.483383516509734,0.9196333530194002,0.08573481865405319,0.00865110282510675,0.2010429356112224,0.0062173853316148,0.1521808322498227,0.00735425164183497,0.2041178123230426,0.04306460142255098,0.15728193843013116,0.00570318974581875,0.1393718050139912,0.01837725651449857,0.10055661810242504,0.00611505495364088,0.05189664381835415,8.652978183625937e-4,0.618108094602861,0.00238820017331548,0.7580073530250608,9.25867214587826e-4,0.5037273052651416,3.948399702568727e-4,0.2186571132634325,5.797155490845439e-5,0.04699881074282763,4.338684546817093e-4,0.08924489983274032,0.00559533102746316,0.5290772199553007,0.02837890063420378,0.7421789341441888,0.01545943047875843
0.09034022894666029,MYS,0.014045709628720926,0.05265473282152785,0.005614675398257812,36143214.15,272401.38500000164,Malaysia,45.70298987603885,1.100686780800963,0.8894194650238985,0.02767977900001557,0.8161056311390075,0.0124861632901693,0.7467520181040526,0.0162337706429533,0.9864786422782784,0.09423789864377086,1.5313451774848068,0.01759743232808499,0.8923778848241748,0.04626403838318786,0.8388750098252362,0.01756310123253586,0.6597652743631772,0.0030688003107401,1.0351299480553442,0.00308797384368899,2.1312721689068854,0.00154398199414471,0.5151587125815251,3.992946181891663e-4,1.106880322691534,1.2973313508868035e-4,0.5293438613126464,0.00145015222857277,1.269281368734645,0.02087427065037828,4.548517973741139,0.08053246321965746,2.347391174414887,0.02729767846332237
0.09666744053411348,MDV,0.018228580112564736,0.03032611719821805,0.0035237131211304316,552899.8353,9034.945799999987,Maldives,37.912764063281635,1.2385716003565437,0.44855110654812846,0.01973931360823059,0.506342867589529,0.00985521520293867,0.4413386155014875,0.01250778924878617,0.5857159642192782,0.07282579106940096,0.784639621780407,0.01268552005431466,0.49592848488089,0.03460036884476623,0.44085910292996655,0.01277738341870255,0.32057973047292143,0.00214637523033564,0.845894757190937,0.00279294974056325,1.4703449662399315,0.00128688089300951,0.5103032925227823,3.974087180506485e-4,0.6500960756746804,9.976074172729782e-5,0.2623960896489326,0.00102362189752708,0.6084553644835812,0.01455138856660602,2.431394032895026,0.06009297610560672,1.565522209247858,0.02239336091548794
0.07269512373647956,MMR,0.011459262600908904,0.02419436927915243,0.0028251576459913403,59050510.62,572370.9600000009,Myanmar,10.179243604615534,0.8291616236369775,0.04181889216246742,0.0060465301333082,0.14962925712583988,0.00536575328793315,0.10624524329511252,0.00614732122109646,0.14320592118810646,0.03608997871132456,0.07939575115845349,0.00405725022610573,0.087536222348910675,0.01457266499468647,0.05564061092177781,0.00455163818013419,0.02207181172556855,5.646482589356501e-4,0.5700287109622658,0.00229365298370363,0.6251293020485996,8.413323872806475e-4,0.5021968806783376,3.942397566202458e-4,0.15080140787026705,4.817259784080201e-5,0.0217980718972799,2.956132457781521e-4,0.03451083976105384,0.00348375574491472,0.28142968742718233,0.02077684894025871,0.5933397411604443,0.01383386261727013
0.03828026954848846,PHL,0.004360080461520165,0.05124112029858024,0.00429084787160551,125603777.4,1235014.099999994,Philippines,17.025535211839074,0.9698982803358828,0.1147018118794515,0.01000324426590389,0.23075836160876015,0.00666001767797451,0.1793038010574209,0.00798143248819146,0.2400242644713386,0.04668880039805179,0.20812397416825315,0.00655702835565868,0.17104336936870793,0.02035357620796469,0.1291000848743477,0.00692695337211829,0.07234656693470823,0.00102139716980039,0.6438745343411115,0.00243737301927738,0.8321564555791058,9.698420224185596e-4,0.5045236760258593,3.951519407573727e-4,0.25888228275200065,6.306283953074634e-5,0.06386719216831867,5.05672794883203e-4,0.12772642704503337,0.00669036767730905,0.6879575288675389,0.03230907567344602,0.8261382196146858,0.01630488551929084
